date,initial_emotion,music_name,last_emotion,rated_emotion,instant_seconds|percentages|dominant_emotion,precipitaProb,tMin,tMax,predWindDir,idWeatherType,classWindSpeed,classPrecInt,local,sunrise,sunset,day_length,cloud_pct,temp,feels_like,humidity,min_temp,max_temp,wind_speed,wind_degrees,timeOfDay
25/05/2023T01:36:08,happy,Käärijä - Cha Cha Cha _ Finland 🇫🇮 _ Official Music Video _ Eurovision 2023.mp3,neutral,neutral,9|0.001-0.0-5.538-72.332-13.243-0.0-8.886|happy;12|0.001-0.01-11.2-43.895-32.364-0.001-12.529|happy;15|0.0-0.001-0.296-20.757-0.481-0.001-78.465|neutral;18|0.0-0.001-3.201-46.119-8.795-0.0-41.883|happy;21|0.0-0.0-42.504-2.011-0.128-0.776-54.581|neutral;24|0.0-0.0-69.415-8.857-0.311-0.007-21.41|fear;27|0.0-0.0-16.133-2.867-0.015-0.026-80.959|neutral;30|0.0-0.0-87.311-0.228-0.053-0.291-12.116|fear;33|0.001-0.0-98.045-0.002-0.213-0.016-1.722|fear;36|0.0-0.0-0.176-99.463-0.285-0.0-0.076|happy;39|0.0-0.0-69.397-2.592-0.085-0.003-27.923|fear;42|0.0-0.0-6.257-85.153-0.321-0.0-8.268|happy;45|11.559-0.0-0.281-0.093-18.277-0.0-69.789|neutral;48|14.085-0.024-0.51-0.014-61.401-0.001-23.965|sad;51|20.704-0.132-17.52-4.139-9.89-0.334-47.281|neutral;,58.0,12,26,SE,Showers/rain,Weak,Moderate,Leiria,05:12:01,19:52:05,14:40:04,17,15,15,85,15,18,0.75,41,Night
25/05/2023T01:37:21,fear,Käärijä - Cha Cha Cha _ Finland 🇫🇮 _ Official Music Video _ Eurovision 2023.mp3,fear,happy,6|0.0-0.0-43.192-33.37-0.149-0.003-23.286|fear;9|0.0-0.0-24.021-15.772-2.23-0.291-57.686|neutral;12|0.0-0.0-59.089-0.592-3.11-0.05-37.158|fear;15|0.0-0.0-78.85-2.362-0.583-0.002-18.203|fear;18|0.0-0.0-87.187-0.585-0.649-0.164-11.416|fear;21|0.001-0.0-6.184-5.572-0.45-0.09-87.703|neutral;24|0.0-0.001-28.705-19.036-11.392-0.0-40.865|neutral;27|0.0-0.0-19.329-13.7-1.649-0.048-65.274|neutral;30|0.0-0.0-0.543-34.858-1.909-0.0-62.69|neutral;33|0.0-0.0-90.922-0.822-0.033-0.002-8.222|fear;36|0.0-0.0-18.834-15.536-16.491-0.002-49.136|neutral;39|0.0-0.0-81.854-3.98-0.518-0.0-13.648|fear;42|0.0-0.0-50.325-23.323-10.263-0.0-16.088|fear;45|0.0-0.0-37.774-1.792-1.12-0.041-59.273|neutral;48|0.0-0.0-22.61-64.321-0.711-0.0-12.358|happy;51|0.0-0.0-67.972-2.198-0.539-0.001-29.29|fear;,7.0,12,27,NW,Partly cloudy,Moderate,Leiria,No precipitation,05:11:23,19:52:55,14:41:32,17,15,15,85,15,18,0.75,41,Night
25/05/2023T23:02:04,neutral,Käärijä - Cha Cha Cha _ Finland 🇫🇮 _ Official Music Video _ Eurovision 2023.mp3,sad,neutral,6|0.419-0.0-0.013-1.017-0.114-0.17-98.267|neutral;9|87.024-0.023-6.251-0.3-5.691-0.038-0.673|angry;12|71.481-0.0-0.521-8.264-7.395-0.168-12.17|angry;15|97.05-0.0-1.171-1.753-0.023-0.0-0.003|angry;18|0.032-0.0-0.004-0.001-0.004-0.001-99.959|neutral;21|7.285-0.0-0.389-0.149-6.959-0.004-85.214|neutral;24|84.272-0.818-10.907-0.935-2.615-0.043-0.409|angry;27|95.048-0.0-0.0-4.922-0.005-0.0-0.025|angry;30|22.494-0.0-2.064-8.827-62.984-0.001-3.63|sad;33|6.437-0.0-0.006-0.001-91.877-0.0-1.679|sad;36|73.707-0.0-0.605-3.79-17.057-0.002-4.839|angry;39|21.82-0.0-0.017-4.532-62.536-0.0-11.095|sad;,40.0,13,27,NW,Showers/rain,Moderate,Leiria,Moderate,05:11:23,19:52:55,14:41:32,20,17,17,92,16,17,1.54,280,Night
25/05/2023T23:03:52,neutral,Käärijä - Cha Cha Cha _ Finland 🇫🇮 _ Official Music Video _ Eurovision 2023.mp3,angry,neutral,6|0.069-0.0-0.002-0.291-0.117-0.002-99.519|neutral;9|1.191-0.0-0.0-98.599-0.005-0.0-0.205|happy;12|1.277-0.0-0.003-13.464-0.025-0.0-85.23|neutral;15|84.82-1.092-1.132-0.008-10.277-0.014-2.657|angry;18|0.038-0.0-0.021-0.145-0.556-0.001-99.24|neutral;21|1.912-0.0-0.065-0.175-2.779-0.0-95.068|neutral;24|3.754-0.0-0.002-0.026-0.386-0.0-95.832|neutral;27|0.139-0.0-0.0-0.0-0.024-0.0-99.837|neutral;30|0.187-0.0-0.0-0.036-0.076-0.0-99.701|neutral;33|0.101-0.0-0.001-0.017-0.205-0.0-99.676|neutral;36|68.051-0.0-0.237-4.113-4.346-2.507-20.745|angry;,40.0,13,27,NW,Showers/rain,Moderate,Leiria,Moderate,05:11:23,19:52:55,14:41:32,20,17,17,92,16,17,1.54,280,Night
25/05/2023T23:06:23,neutral,Käärijä - Cha Cha Cha _ Finland 🇫🇮 _ Official Music Video _ Eurovision 2023.mp3,fear,neutral,6|29.828-0.397-12.85-0.534-9.537-0.255-46.599|neutral;9|1.298-0.0-0.003-68.99-13.512-0.0-16.197|happy;12|84.094-0.016-1.228-0.038-7.226-0.003-7.395|angry;15|10.642-0.102-66.815-1.114-11.748-2.818-6.761|fear;18|2.604-0.0-39.231-24.342-0.084-28.99-4.75|fear;21|1.895-0.0-2.915-89.196-0.051-0.002-5.942|happy;24|8.511-0.584-24.291-0.603-2.064-0.003-63.945|neutral;27|0.205-0.0-0.026-22.455-0.328-0.0-76.986|neutral;30|0.007-0.011-0.227-50.408-1.399-0.001-47.946|happy;33|43.377-0.57-2.706-2.336-12.946-0.007-38.057|angry;36|0.163-0.0-0.001-93.386-0.252-0.0-6.198|happy;39|14.881-32.309-51.419-0.084-0.807-0.103-0.398|fear;,40.0,13,27,NW,Showers/rain,Moderate,Leiria,Moderate,05:11:23,19:52:55,14:41:32,20,17,17,92,16,17,1.54,280,Night
25/05/2023T23:09:10,neutral,Käärijä - Cha Cha Cha _ Finland 🇫🇮 _ Official Music Video _ Eurovision 2023.mp3,fear,neutral,6|3.04-0.032-12.772-0.106-10.607-0.074-73.369|neutral;9|28.289-0.0-0.493-28.421-0.182-1.138-41.477|neutral;12|99.184-0.0-0.81-0.003-0.004-0.0-0.0|angry;15|9.474-0.29-5.878-0.884-49.061-0.139-34.275|sad;18|99.88-0.0-0.012-0.002-0.002-0.102-0.001|angry;21|85.578-0.085-4.636-4.53-3.859-0.012-1.3|angry;27|99.246-0.0-0.058-0.0-0.216-0.0-0.48|angry;30|69.175-0.0-1.511-0.001-10.606-0.002-18.705|angry;33|98.277-0.0-0.039-1.151-0.006-0.001-0.526|angry;36|35.538-0.001-0.058-15.797-9.854-0.001-38.751|neutral;39|16.646-0.027-0.876-64.251-7.015-0.002-11.185|happy;42|5.415-0.174-49.88-0.081-29.163-0.07-15.217|fear;,40.0,13,27,NW,Showers/rain,Moderate,Leiria,Moderate,05:11:23,19:52:55,14:41:32,40,16,17,95,16,17,3.09,260,Night
25/05/2023T23:10:17,neutral,Käärijä - Cha Cha Cha _ Finland 🇫🇮 _ Official Music Video _ Eurovision 2023.mp3,angry,neutral,6|4.27-0.0-1.021-1.156-5.838-0.433-87.282|neutral;9|19.193-0.003-0.904-34.788-5.391-0.114-39.606|neutral;12|0.176-0.0-0.004-5.433-0.065-0.0-94.322|neutral;15|4.328-0.0-0.145-70.206-2.69-0.006-22.624|happy;18|43.301-0.0-0.02-42.376-0.511-0.018-13.774|angry;21|33.85-0.0-0.001-5.038-0.302-0.0-60.809|neutral;24|67.209-0.0-0.002-1.371-0.212-0.012-31.193|angry;27|42.606-0.0-0.006-1.054-0.3-0.019-56.015|neutral;30|75.748-0.0-0.001-2.582-0.378-0.008-21.283|angry;33|41.11-0.0-0.0-0.555-0.558-0.0-57.776|neutral;36|77.075-0.0-0.009-1.102-2.094-0.005-19.715|angry;39|23.643-0.0-0.0-0.421-0.104-0.001-75.831|neutral;42|83.79-0.0-0.002-0.268-1.042-0.001-14.898|angry;,40.0,13,27,NW,Showers/rain,Moderate,Leiria,Moderate,05:11:23,19:52:55,14:41:32,40,16,17,95,16,17,3.09,260,Night
25/05/2023T23:14:35,neutral,Käärijä - Cha Cha Cha _ Finland 🇫🇮 _ Official Music Video _ Eurovision 2023.mp3,angry,happy,6|13.103-0.0-1.043-6.129-0.111-2.815-76.799|neutral;9|0.026-0.0-0.001-0.004-0.005-0.0-99.963|neutral;12|0.13-0.0-0.006-81.018-0.015-0.129-18.701|happy;15|97.309-0.008-1.759-0.0-0.483-0.001-0.44|angry;21|26.44-0.09-20.617-4.626-27.373-0.002-20.85|sad;36|0.055-0.0-0.0-0.0-0.04-0.0-99.906|neutral;39|0.115-0.008-98.304-0.482-0.467-0.016-0.607|fear;42|79.135-0.0-5.056-0.001-7.156-0.053-8.6|angry;,40.0,13,27,NW,Showers/rain,Moderate,Leiria,Moderate,05:11:23,19:52:55,14:41:32,40,16,17,95,16,17,3.09,260,Night
25/05/2023T23:25:49,fear,Käärijä - Cha Cha Cha _ Finland 🇫🇮 _ Official Music Video _ Eurovision 2023.mp3,fear,neutral,6|20.854-24.185-48.612-0.089-4.518-0.729-1.012|fear;9|0.001-0.0-0.0-99.992-0.001-0.0-0.007|happy;12|25.416-0.0-8.642-9.07-8.746-0.027-48.098|neutral;15|10.491-0.0-1.149-0.319-11.583-0.038-76.42|neutral;18|18.675-0.0-6.921-0.0-73.029-0.0-1.376|sad;21|43.378-0.0-45.427-0.078-9.972-0.333-0.812|fear;24|8.338-0.0-2.219-0.06-73.809-0.06-15.515|sad;27|6.882-0.0-1.267-0.248-19.811-0.103-71.69|neutral;30|2.737-0.0-0.015-0.4-0.249-0.002-96.596|neutral;33|83.247-0.0-0.296-0.216-7.811-0.009-8.421|angry;36|78.486-0.0-0.969-16.459-3.556-0.003-0.528|angry;39|61.158-0.0-0.0-0.01-0.705-0.0-38.126|angry;42|0.847-0.0-0.013-1.065-85.289-0.0-12.786|sad;45|0.086-0.0-95.908-0.0-4.005-0.0-0.0|fear;,40.0,13,27,NW,Showers/rain,Moderate,Leiria,Moderate,05:11:23,19:52:55,14:41:32,40,16,17,95,15,17,3.09,260,Night
25/05/2023T23:31:59,neutral,Käärijä - Cha Cha Cha _ Finland 🇫🇮 _ Official Music Video _ Eurovision 2023.mp3,angry,happy,6|0.017-0.0-0.0-0.004-0.088-0.0-99.891|neutral;9|8.663-0.029-68.895-11.449-6.305-4.362-0.298|fear;12|0.227-0.001-95.593-1.691-0.169-0.585-1.735|fear;15|0.886-0.02-2.403-95.064-0.891-0.432-0.304|happy;18|34.786-0.0-0.091-36.508-1.709-0.015-26.89|happy;21|7.379-0.291-23.683-47.312-2.666-0.179-18.49|happy;24|0.04-0.0-0.001-46.821-0.711-0.001-52.426|neutral;27|7.551-0.0-0.211-35.534-1.102-0.044-55.558|neutral;30|9.833-0.048-73.765-1.515-12.371-0.103-2.365|fear;33|51.239-0.0-0.102-22.069-5.567-0.023-20.999|angry;36|2.507-0.0-28.011-0.473-68.014-0.001-0.993|sad;39|0.818-10.218-88.235-0.098-0.176-0.043-0.412|fear;42|84.0-0.001-15.207-0.0-0.045-0.001-0.747|angry;,40.0,13,27,NW,Showers/rain,Moderate,Leiria,Moderate,05:11:23,19:52:55,14:41:32,40,16,17,95,15,17,3.09,260,Night
